Keyword,TodayCount,YesterdayCount,Difference,ChangeType
색안경,0.0,1,-1.0,DISAPPEARED
샌드위치,0.0,1,-1.0,DISAPPEARED
생각,0.0,1,-1.0,DISAPPEARED
생일,0.0,2,-2.0,DISAPPEARED
생존,0.0,1,-1.0,DISAPPEARED
생후,0.0,1,-1.0,DISAPPEARED
샤브샤브,0.0,1,-1.0,DISAPPEARED
샹궈,0.0,1,-1.0,DISAPPEARED
서막,0.0,1,-1.0,DISAPPEARED
서방,0.0,1,-1.0,DISAPPEARED
서약,0.0,1,-1.0,DISAPPEARED
서인국,0.0,2,-2.0,DISAPPEARED
선공,0.0,2,-2.0,DISAPPEARED
선물,0.0,3,-3.0,DISAPPEARED
선생님,0.0,1,-1.0,DISAPPEARED
선택,0.0,1,-1.0,DISAPPEARED
섭외,0.0,1,-1.0,DISAPPEARED
성동일,0.0,2,-2.0,DISAPPEARED
성적,0.0,1,-1.0,DISAPPEARED
세기,0.0,1,-1.0,DISAPPEARED
세대,0.0,1,-1.0,DISAPPEARED
세라핌,0.0,2,-2.0,DISAPPEARED
세월,0.0,1,-1.0,DISAPPEARED
소개팅,0.0,1,-1.0,DISAPPEARED
소년,0.0,1,-1.0,DISAPPEARED
소스,0.0,1,-1.0,DISAPPEARED
소식,0.0,1,-1.0,DISAPPEARED
소원,0.0,1,-1.0,DISAPPEARED
소장품,0.0,1,-1.0,DISAPPEARED
속보,0.0,1,-1.0,DISAPPEARED
속임수,0.0,1,-1.0,DISAPPEARED
손보,0.0,1,-1.0,DISAPPEARED
손빈,0.0,1,-1.0,DISAPPEARED
손흥민,0.0,2,-2.0,DISAPPEARED
솔로,0.0,2,-2.0,DISAPPEARED
송도,0.0,1,-1.0,DISAPPEARED
송승환,0.0,1,-1.0,DISAPPEARED
송은이,0.0,1,-1.0,DISAPPEARED
송필근,0.0,1,-1.0,DISAPPEARED
쇼핑,0.0,1,-1.0,DISAPPEARED
수능,0.0,1,-1.0,DISAPPEARED
수다,0.0,1,-1.0,DISAPPEARED
수시,0.0,1,-1.0,DISAPPEARED
숙녀,0.0,1,-1.0,DISAPPEARED
순간,0.0,1,-1.0,DISAPPEARED
숯불,0.0,1,-1.0,DISAPPEARED
슈블리맘,0.0,1,-1.0,DISAPPEARED
슈퍼맨,0.0,1,-1.0,DISAPPEARED
슈퍼주니어,0.0,1,-1.0,DISAPPEARED
스마트폰,0.0,1,-1.0,DISAPPEARED
스위스,0.0,1,-1.0,DISAPPEARED
스타트업,0.0,1,-1.0,DISAPPEARED
스테이,0.0,2,-2.0,DISAPPEARED
스테이크,0.0,1,-1.0,DISAPPEARED
스패니시,0.0,1,-1.0,DISAPPEARED
스포,0.0,1,-1.0,DISAPPEARED
슬기,0.0,1,-1.0,DISAPPEARED
승무원,0.0,1,-1.0,DISAPPEARED
승부,0.0,1,-1.0,DISAPPEARED
승호,0.0,1,-1.0,DISAPPEARED
시간,0.0,1,-1.0,DISAPPEARED
시계,0.0,1,-1.0,DISAPPEARED
시안,0.0,2,-2.0,DISAPPEARED
시작,0.0,2,-2.0,DISAPPEARED
식탁,0.0,2,-2.0,DISAPPEARED
신고식,0.0,1,-1.0,DISAPPEARED
신라면,0.0,1,-1.0,DISAPPEARED
신발,0.0,4,-4.0,DISAPPEARED
신작,0.0,1,-1.0,DISAPPEARED
신혼집,0.0,1,-1.0,DISAPPEARED
실력,0.0,1,-1.0,DISAPPEARED
실제,0.0,1,-1.0,DISAPPEARED
아기,0.0,3,-3.0,DISAPPEARED
아내,0.0,1,-1.0,DISAPPEARED
아들,0.0,2,-2.0,DISAPPEARED
아무,0.0,1,-1.0,DISAPPEARED
아빠,0.0,1,-1.0,DISAPPEARED
아빠어디가,0.0,1,-1.0,DISAPPEARED
아우,0.0,1,-1.0,DISAPPEARED
아이돌,0.0,2,-2.0,DISAPPEARED
아이스크림,0.0,1,-1.0,DISAPPEARED
아이유,0.0,2,-2.0,DISAPPEARED
아침,0.0,1,-1.0,DISAPPEARED
아파트,0.0,1,-1.0,DISAPPEARED
안방,0.0,1,-1.0,DISAPPEARED
안세영,0.0,1,-1.0,DISAPPEARED
안주,0.0,1,-1.0,DISAPPEARED
알람,0.0,1,-1.0,DISAPPEARED
알렉스,0.0,1,-1.0,DISAPPEARED
알리,0.0,1,-1.0,DISAPPEARED
애순,0.0,1,-1.0,DISAPPEARED
액세서리,0.0,1,-1.0,DISAPPEARED
앨범,0.0,1,-1.0,DISAPPEARED
야생,0.0,1,-1.0,DISAPPEARED
야외,0.0,1,-1.0,DISAPPEARED
야채,0.0,2,-2.0,DISAPPEARED
양봉,0.0,2,-2.0,DISAPPEARED
양산,0.0,2,-2.0,DISAPPEARED
양세형,0.0,1,-1.0,DISAPPEARED
어디,0.0,1,-1.0,DISAPPEARED
어린이집,0.0,2,-2.0,DISAPPEARED
어부,0.0,1,-1.0,DISAPPEARED
어학,0.0,1,-1.0,DISAPPEARED
얼굴,0.0,1,-1.0,DISAPPEARED
얼마나,0.0,1,-1.0,DISAPPEARED
엄마,0.0,2,-2.0,DISAPPEARED
에그드랍,0.0,1,-1.0,DISAPPEARED
에이즈,0.0,2,-2.0,DISAPPEARED
에일리,0.0,1,-1.0,DISAPPEARED
에픽하이,0.0,1,-1.0,DISAPPEARED
엘레,0.0,1,-1.0,DISAPPEARED
여기,0.0,4,-4.0,DISAPPEARED
여름,0.0,1,-1.0,DISAPPEARED
여자,0.0,1,-1.0,DISAPPEARED
여행,0.0,3,-3.0,DISAPPEARED
여행가,0.0,1,-1.0,DISAPPEARED
역대,0.0,1,-1.0,DISAPPEARED
역사,0.0,2,-2.0,DISAPPEARED
연모,0.0,1,-1.0,DISAPPEARED
연세,0.0,1,-1.0,DISAPPEARED
연세대,0.0,1,-1.0,DISAPPEARED
연속,0.0,1,-1.0,DISAPPEARED
연애,0.0,5,-5.0,DISAPPEARED
연패,0.0,1,-1.0,DISAPPEARED
엽떡,0.0,1,-1.0,DISAPPEARED
영상,0.0,1,-1.0,DISAPPEARED
영어,0.0,1,-1.0,DISAPPEARED
예민,0.0,1,-1.0,DISAPPEARED
예비,0.0,1,-1.0,DISAPPEARED
예선,0.0,1,-1.0,DISAPPEARED
옐로우,0.0,1,-1.0,DISAPPEARED
오늘,0.0,1,-1.0,DISAPPEARED
오라,0.0,1,-1.0,DISAPPEARED
오버,0.0,1,-1.0,DISAPPEARED
오열,0.0,1,-1.0,DISAPPEARED
올해,0.0,1,-1.0,DISAPPEARED
와인,0.0,1,-1.0,DISAPPEARED
와플,0.0,1,-1.0,DISAPPEARED
완도,0.0,1,-1.0,DISAPPEARED
완료,0.0,1,-1.0,DISAPPEARED
완전체,0.0,1,-1.0,DISAPPEARED
완치,0.0,1,-1.0,DISAPPEARED
왕만,0.0,1,-1.0,DISAPPEARED
외로움,0.0,1,-1.0,DISAPPEARED
외식,0.0,1,-1.0,DISAPPEARED
요리,0.0,2,-2.0,DISAPPEARED
요즘,0.0,2,-2.0,DISAPPEARED
용빈,0.0,1,-1.0,DISAPPEARED
용형,0.0,1,-1.0,DISAPPEARED
우리,0.0,3,-3.0,DISAPPEARED
우리나라,0.0,1,-1.0,DISAPPEARED
우유,0.0,1,-1.0,DISAPPEARED
우지,0.0,1,-1.0,DISAPPEARED
우현,0.0,1,-1.0,DISAPPEARED
운동,0.0,1,-1.0,DISAPPEARED
워치,0.0,1,-1.0,DISAPPEARED
원더풀라이프,0.0,1,-1.0,DISAPPEARED
원샷,0.0,1,-1.0,DISAPPEARED
월드,0.0,1,-1.0,DISAPPEARED
월드컵,0.0,1,-1.0,DISAPPEARED
위기,0.0,1,-1.0,DISAPPEARED
위해,0.0,1,-1.0,DISAPPEARED
유니콘,0.0,1,-1.0,DISAPPEARED
유럽,0.0,1,-1.0,DISAPPEARED
유머,0.0,1,-1.0,DISAPPEARED
유우,0.0,1,-1.0,DISAPPEARED
유치원,0.0,1,-1.0,DISAPPEARED
유튜버,0.0,1,-1.0,DISAPPEARED
유학,0.0,1,-1.0,DISAPPEARED
유학생,0.0,1,-1.0,DISAPPEARED
육아,0.0,1,-1.0,DISAPPEARED
은파,0.0,2,-2.0,DISAPPEARED
음식,0.0,2,-2.0,DISAPPEARED
의류,0.0,1,-1.0,DISAPPEARED
이건,0.0,2,-2.0,DISAPPEARED
이경규,0.0,1,-1.0,DISAPPEARED
이경실,0.0,1,-1.0,DISAPPEARED
이름,0.0,1,-1.0,DISAPPEARED
이사,0.0,2,-2.0,DISAPPEARED
이삭,0.0,2,-2.0,DISAPPEARED
이상형,0.0,1,-1.0,DISAPPEARED
이소담,0.0,1,-1.0,DISAPPEARED
이야기,0.0,3,-3.0,DISAPPEARED
이오,0.0,1,-1.0,DISAPPEARED
이유,0.0,2,-2.0,DISAPPEARED
이유식,0.0,1,-1.0,DISAPPEARED
이의,0.0,2,-2.0,DISAPPEARED
이제,0.0,1,-1.0,DISAPPEARED
이제훈,0.0,4,-4.0,DISAPPEARED
이찬원,0.0,2,-2.0,DISAPPEARED
이창섭,0.0,1,-1.0,DISAPPEARED
이창호,0.0,1,-1.0,DISAPPEARED
이커머스,0.0,1,-1.0,DISAPPEARED
이탈리아,0.0,1,-1.0,DISAPPEARED
인기,0.0,1,-1.0,DISAPPEARED
인문학,0.0,1,-1.0,DISAPPEARED
인분,0.0,1,-1.0,DISAPPEARED
인사,0.0,1,-1.0,DISAPPEARED
인생,0.0,6,-6.0,DISAPPEARED
인천공항,0.0,1,-1.0,DISAPPEARED
인터뷰,0.0,1,-1.0,DISAPPEARED
인피니트,0.0,3,-3.0,DISAPPEARED
일기,0.0,1,-1.0,DISAPPEARED
일동,0.0,1,-1.0,DISAPPEARED
일반,0.0,1,-1.0,DISAPPEARED
일본,0.0,3,-3.0,DISAPPEARED
일본어,0.0,1,-1.0,DISAPPEARED
일상,0.0,1,-1.0,DISAPPEARED
일식,0.0,1,-1.0,DISAPPEARED
일지,0.0,1,-1.0,DISAPPEARED
일체,0.0,1,-1.0,DISAPPEARED
임시,0.0,1,-1.0,DISAPPEARED
임영웅,0.0,3,-3.0,DISAPPEARED
잇츠,0.0,1,-1.0,DISAPPEARED
자기,0.0,1,-1.0,DISAPPEARED
자꾸,0.0,1,-1.0,DISAPPEARED
자매,0.0,1,-1.0,DISAPPEARED
자식,0.0,1,-1.0,DISAPPEARED
잔치국수,0.0,1,-1.0,DISAPPEARED
잡화,0.0,1,-1.0,DISAPPEARED
장가,0.0,1,-1.0,DISAPPEARED
장기,0.0,1,-1.0,DISAPPEARED
장모님,0.0,3,-3.0,DISAPPEARED
장인어른,0.0,1,-1.0,DISAPPEARED
재기,0.0,1,-1.0,DISAPPEARED
재료,0.0,2,-2.0,DISAPPEARED
재회,0.0,1,-1.0,DISAPPEARED
저희,0.0,1,-1.0,DISAPPEARED
적응,0.0,1,-1.0,DISAPPEARED
전설,0.0,3,-3.0,DISAPPEARED
전하,0.0,1,-1.0,DISAPPEARED
절친,0.0,1,-1.0,DISAPPEARED
점검,0.0,1,-1.0,DISAPPEARED
점점,0.0,1,-1.0,DISAPPEARED
정동원,0.0,1,-1.0,DISAPPEARED
정리,0.0,1,-1.0,DISAPPEARED
정성,0.0,1,-1.0,DISAPPEARED
정시,0.0,1,-1.0,DISAPPEARED
정신,0.0,1,-1.0,DISAPPEARED
정신과,0.0,1,-1.0,DISAPPEARED
정우,0.0,1,-1.0,DISAPPEARED
정은지,0.0,2,-2.0,DISAPPEARED
정장,0.0,1,-1.0,DISAPPEARED
정통,0.0,2,-2.0,DISAPPEARED
제니,0.0,3,-3.0,DISAPPEARED
제대로,0.0,1,-1.0,DISAPPEARED
제로,0.0,1,-1.0,DISAPPEARED
제법,0.0,1,-1.0,DISAPPEARED
제안,0.0,1,-1.0,DISAPPEARED
