video_id,title,channel,category,published_at,views,likes,comments,fetched_at
7zkvm-SxgBM,7일 동안 매일 계란 30개씩 먹으면 생기는 일,고재영,Entertainment,2025-03-14T11:25:30Z,1870668,27884,2775,2025-03-19 15:42:17.599765
WhKPf5wtWyI,정은지&서인국 - 커플 (Couple) | Jeong Eun Ji x Seo In Guk | 야외녹음실｜Beyond the Studio｜LIVE,1theK Live - 원더케이 라이브,Music,2025-03-17T09:00:38Z,184193,12606,787,2025-03-19 15:42:17.599765
q1lAepUiq0I,눈앞에서 새를 관찰하는 기가막힌 방법 캬,새덕후 Korean Birder,Pets & Animals,2025-03-18T09:07:18Z,113013,4769,463,2025-03-19 15:42:17.599765
Hx5-axfWKaM,[VLOG] 조카랑 대화가 된다니.. 감격스러운 날💖 | 최고의 친구는 자매,지유롭게,People & Blogs,2025-03-17T11:13:16Z,223181,3542,110,2025-03-19 15:42:17.599765
XXwKq-Dj0Sk,우리나라에서 무려 14m 크기의 초대형 고래가 잡혔습니다,헌터퐝,People & Blogs,2025-03-15T03:00:27Z,920218,11435,1263,2025-03-19 15:42:17.599765
oVQEs5vwuOM,길에서 만삭인 강아지를 만났습니다,나렝아치 NaRengAchi,Pets & Animals,2025-03-15T02:33:00Z,495460,19137,2081,2025-03-19 15:42:17.599765
nL41mkmg2Qg,브로콜리 많이 사오세요. 참기름 대신 '이것'으로 10배 더 맛있어요!,딸을 위한 레시피 Recipes for daughters,Howto & Style,2025-03-14T14:08:39Z,370610,6293,158,2025-03-19 15:42:17.599765
QBV-0UBiUG4,"vlog 어린이집첫등원 대오열😂어린이집준비물! 잔치국수,등촌샤브샤브,안방꾸미기",트위티 (Tweety),People & Blogs,2025-03-16T11:00:27Z,209544,4180,366,2025-03-19 15:42:17.599765
9ATFvK6V2Vs,"이게 진짜 2만원이에요? 스마트폰, 태블릿, 노트북 액세서리 Best 12! 알리에서 골라왔습니다.",테크몽 Techmong,Science & Technology,2025-03-16T13:24:21Z,233429,4080,476,2025-03-19 15:42:17.599765
S7q1X7uNmhc,버터 맥주는 실제로 존재하는 걸까? 직접 도전해 봤습니다,술익는집,Howto & Style,2025-03-15T04:19:13Z,459096,6935,520,2025-03-19 15:42:17.599765
mwWSyXEozL4,일본어학교 졸업식 브이로그,수쩡민,People & Blogs,2025-03-15T12:59:21Z,294720,6681,238,2025-03-19 15:42:17.599765
4ERkRwnT7lg,연애하면 안 되는 사람,픽고 PICKGO,Entertainment,2025-03-15T10:00:05Z,825779,8695,951,2025-03-19 15:42:17.599765
ZsokcACLcrY,💸5만원도 안되는 가격에 1대1 메이크업 컨설팅을 받을 수 있다고요⁉️(광고X),회사원A,Howto & Style,2025-03-15T10:00:39Z,188474,4320,286,2025-03-19 15:42:17.599765
ED_YQ5CvNCg,"눈물의 유치원 적응기😂 등원준비물, 기저귀, 자기주도 이유식, 내 생일, 불고기 샌드위치, 앤다이브 처음 먹어 봄, 커피 러버, 히든천재 파스타",yoovlog,People & Blogs,2025-03-15T11:03:50Z,315874,5645,396,2025-03-19 15:42:17.599765
qqlI_3dBewY,니가 왜 여기서 나와,띱 Deep,Comedy,2025-03-15T03:00:50Z,1658117,25805,1338,2025-03-19 15:42:17.599765
n3JIEQElZPI,"연세대 25학번, 정시 3관왕 한 마이린 수능 성적 최초공개 (110만 유튜버, 수시 6광탈) | 출석번호XXX",뮤니버스,Entertainment,2025-03-14T09:15:03Z,214335,2739,139,2025-03-19 15:42:17.599765
4QsxbK8hY04,대학 떨어진 나의 근황,와코,People & Blogs,2025-03-14T09:00:05Z,244297,4595,328,2025-03-19 15:42:17.599765
0a1SpBR-ysM,재료값만 100만원.. 요즘 핫한 추성훈 스테이크부터 일식코스요리 제대로 먹어보겠습니다 feat. 일하는용형,지피티,Sports,2025-03-13T09:31:45Z,528239,5821,678,2025-03-19 15:42:17.599765
X6oDE2VG44M,하 빡세다 네고왕 김원훈 첫 출근 [네고왕] Ep.0,달라스튜디오,Comedy,2025-03-13T09:30:10Z,615765,6063,863,2025-03-19 15:42:17.599765
lPuJ1KDfaAA,남미새 특,총몇명,Film & Animation,2025-03-12T09:00:58Z,1471838,22925,708,2025-03-19 15:42:17.599765
Ss0cCBPldgw,✨실력 발휘✨ 협상의 神이 가전 쇼핑하러 가면 생기는 일?? 🐶zzㅓ는 말빨로 초특가 할인받아내는 이제훈ㅋ｜협상의 기술 | JTBC 250315 방송,DRAMA Voyage,Entertainment,2025-03-15T15:07:59Z,456147,2126,133,2025-03-19 15:42:17.599765
vFj7HeAYm2g,[Cover] WOODZ - Pretender (Official髭男dism),WOODZ,Music,2025-03-12T08:30:22Z,328825,20207,1397,2025-03-19 15:42:17.599765
9Bl3RvJpya4,[IU TV] 얼굴만 봐도 즐거운 관식이네 회사 탐방 vlog (feat. 가요무대),이지금 [IU Official],Entertainment,2025-03-12T09:00:18Z,966469,35755,1592,2025-03-19 15:42:17.599765
6AdGVDody9A,💥멘붕💥 ＂이커머스를 할 생각입니다＂남은 빚 2조 5천억 조달 방법으로 제안한 이제훈의 두 번째 폭탄 발언💥｜협상의 기술｜JTBC 250315 방송,DRAMA Voyage,Entertainment,2025-03-15T15:09:00Z,356982,1998,106,2025-03-19 15:42:17.599765
7nGdpHQ0Uc8,아이유(애순) + 박보검(관식)🌼산골 소년의 사랑 이야기(가수: 예민) [가요무대/Music Stage] | KBS 250310 방송,KBS 레전드 케이팝,Music,2025-03-10T13:21:50Z,1583819,43049,3927,2025-03-19 15:42:17.599765
wLvEKGdMdnE,"남편이 연속 5끼 먹은 김치찜 레시피ㅣ초간단 들기름 김치찜, 국물 활용 레시피까지, 냉장고 속 김치 다 꺼내세요✨",차예련 chayeryun,People & Blogs,2025-03-12T09:01:12Z,862494,9314,482,2025-03-19 15:42:17.599765
sxfbEUxy5PA,[SUB] 남자병 완치를 원하는 자 재친구로 오라 | 재친구 S4 E2 l 제로베이스원 김재중,재친구(Jae friends) | ST7,Entertainment,2025-03-13T09:01:08Z,349182,25031,1818,2025-03-19 15:42:17.599765
QnWmdNMKulc,"한혜진 뱃살 찌다? 란제리 화보 D-7 탑모델의 뱃살 타파 일지 ㅣ 다이어트, 운동, 급찐급빠, 대창 먹방",한혜진 Han Hye Jin,Entertainment,2025-03-13T10:02:40Z,374356,6563,335,2025-03-19 15:42:17.599765
q0V0fIkPKQQ,슈퍼주니어 김희철의 하루,인생84,People & Blogs,2025-03-11T09:01:05Z,1110911,17319,1484,2025-03-19 15:42:17.599765
JTyQHLD8UHs,처음 보는 승무원이랑 같이 밥 먹은 썰,에어부산,Travel & Events,2025-03-12T08:30:08Z,937192,10685,2586,2025-03-19 15:42:17.599765
seARsMwjbEU,JENNIE & Dua Lipa - Handlebars (Official Video),JennieRubyJaneVEVO,Music,2025-03-10T15:00:07Z,12444120,927947,42552,2025-03-19 15:42:17.599765
5PmKKCre-ls,할머니👵에게 전하는 용빈이의 메시지💌 ‘감사’♪ TV CHOSUN 250313 방송 | [미스터트롯3 – 12회] | TV조선,TVCHOSUN - TV조선,Entertainment,2025-03-13T14:11:32Z,686635,17771,5110,2025-03-19 15:42:17.599765
CuCUKGyco80,[LIVE] LEECHANGSUB(이창섭) - Coward(겁쟁이),MUSIC&NEW 뮤직앤뉴,Music,2025-03-12T09:00:25Z,137924,8874,1374,2025-03-19 15:42:17.599765
MstuOEqsVBQ,HOT - LE SSERAFIM (르세라핌) [뮤직뱅크/Music Bank] | KBS 250314 방송,KBS Kpop,Music,2025-03-14T09:25:53Z,714540,29579,1604,2025-03-19 15:42:17.599765
